titulo,descricao,id_video,canal
✅ RESUMEN de la SEMANA 111 de la guerra entre UCRANIA y RUSIA en 5 minutos | Batalla por Chasiv Yar,SUSCRÍBETE A NUESTRA NEWSLETTER GRATIS: https://memoriasdetiburon.beehiiv.com/subscribe ▻ ¡NUEVO LIBRO DE ...,WB4aQepSZgU,Memorias de Pez
AGORA! TROPA da OTAN já está na UCRÂNIA! PUTIN aguarda...,"Hoje vamos falar de um assunto extremamente grave, que pode mudar o curso da guerra, dependendo do julgamento do ...",2dxW3HEJj_w,Núcleo da Terra
"Ucrânia nega avanço inimigo no sul, enquanto Rússia ganha terreno no leste","Lugansk, 10 abr (EFE).- O Comando Sul do Exército ucraniano negou nesta quarta-feira que as forças russas tenham ...",qhd64uwsncU,EFE BRASIL
Novo ataque russo contra Ucrânia | Bora Brasil,Novo ataque russo contra Ucrânia deixa mais de 200 mil pessoas sem energia. Diversas pessoas procuraram abrigo nas ...,fcFq7FU55Yk,Band Jornalismo
GUERRA UCRANIA | Kiev alista reclutas rusos en su batallón siberiano y Moscú mata a tres en Járkov,Rusos inconformes con el régimen de Vladímir Putin optan por alistarse en el ejército de Ucrania. El cuerpo militar que conforma ...,gpYLjaBSzes,EL PAÍS
Guerra na Ucrânia: Vídeo flagra momento do ataque aéreo russo em mercado no leste ucraniano; veja,Um bombardeio russo perto de Bakhmut deixou mais de 16 pessoas mortas nesta quarta-feira (6). O anúncio foi feito pelo ...,RfUeluq6rwo,UOL
“Aprendemos com a invasão da Ucrânia. Estaremos prontos para a guerra!” A reforma das forças alemãs,Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,Znez2yRZH08,Hoje no Mundo Militar
Ucrânia faz ataque com avião e explode fábrica na Rússia; veja vídeo,Um ataque reivindicado por Kiev contra fábricas na região russa do Tartaristão deixou 13 feridos nesta terça-feira (2) em um ...,jHBGY9Vsy6o,UOL
Trump alega ter plano para acabar com a guerra na Ucrânia,Especialistas norte-americanos relatam que o ex-presidente Donald Trump tem dito a aliados que poderia acabar com a guerra ...,ShWB-sCi9bA,Record News
Rússia reivindica avanço de 400 km² na Ucrânia e anuncia mudanças no comando da Marinha | AFP,"Em uma reunião, nesta terça-feira, com chefes militares, o ministro da Defesa da Rússia, Sergei Shoigu, relatou avanços de 400 ...",OslLhSFnTec,AFP Português
Por que economia da Rússia cresce mais que a do G7 apesar da guerra na Ucrânia,O efeito imediato da guerra da Ucrânia foi uma onda sem precedentes de sanções contra a Rússia e contra pessoas próximas ao ...,hXe2WhyH13M,BBC News Brasil
GUERRA RUSIA - UCRANIA | Las imágenes y los hechos más destacados de las últimas horas,Canal26 #Guerra #Ucrania El conflicto bélico entre las tropas rusas y ucranianas va más de 2 años desde su inicio mientras ...,Ng12wrwUfwo,Canal 26
Zelensky: Ucrânia sem mísseis! OTAN quer negociação com Putin!? Por que Israel abandona Sul de Gaza?,Chave PIX: ricardomarciliom@gmail.com Plataforma Sfera - Professor Ricardo Marcilio http://www.profricardomarcilio.com.br ...,Z9ThNZ2chD4,Professor Ricardo Marcílio
Cúpula de paz da Ucrânia: Brasil e China líderes?! Israel bloqueado! Irã desiste de atacar Israel!?,"Tenha acesso as roupas da Insider, o melhor custo benefício do Brasil, com 12% de desconto!",6k_sgPJ5TG4,Professor Ricardo Marcílio
Ucrânia atinge navio em ataque inédito a porto na Rússia | CENAS DA GUERRA,"Pressionada pela dificuldade em sua contraofensiva e pela campanha de bombardeio contra seus portos, a Ucrânia conseguiu ...",s7ktHd6mc2Y,Folha de S.Paulo
