titulo,descricao,id_video,canal
VOCÊ SE LEMBRA DO BETO CARRERO? A HISTÓRIA DO MAIOR EMPRESÁRIO BRASILEIRO!,Garanta sua camiseta do Nerd Show! ▻ https://bit.ly/loljanerdshow Contato comercial: comercial@nerdshow.com.br 14 DIAS ...,GToW_6NFiWI,Nerd Show
A REAL HISTÓRIA DA BATERIAS MOURAS COMO NUNCA TE CONTARAM !    EMPRESÁRIOS BRASILEIROS,"A História de Sucesso e perseverança das baterias mouras como você nunca viu! TAGS: história de sucesso empreendedor,uma ...",83hMoSPUoko,Empresários de Sucesso | Brasileiro
O BRASILEIRO COFUNDADOR DO FACEBOOK - A HISTÓRIA DE EDUARDO SAVERIN,CONHEÇA NOSSO CANAL DE CORTES - PASSO A PASSO EMPREENDEDOR INSIGHTS: ...,NghZkYkhCdc,Passo a Passo Empreendedor
Segredo da Fortuna: ex-engraxate se tornou um empresário de sucesso,"Alcides Braga é dono de uma empresa de carretas, carrocerias e baús para caminhões e furgões. A empresa dele fatura cerca ...",JGdDUYT-uaA,Hoje em Dia
UMA DAS MAIORES EMPRESAS DO VAREJO BRASILEIRO - A HISTÓRIA DA HAVAN,"Fundada em 1986 por Luciano Hang e Vanderlei de Limas, a Havan nasceu com o propósito de distribuir tecidos por toda região ...",cReDiMof7Kc,Histórias Empreendedoras
"Afinal, quem está no topo da pirâmide da riqueza no Brasil?","Em dezembro de 2020, o ator Bruno Gagliasso escreveu em suas redes sociais que precisava ""bater um papo com você, meu ...",AIAx1zSFHlA,BBC News Brasil
Pense Positivo | Geraldo Rufino | TEDxFortaleza,GERALDO RUFINO iniciou a vida como catador de latas na periferia de São Paulo e fez suas primeiras investidas como ...,V-55IH6CVd4,TEDx Talks
7 Histórias Milionários Brasileiros que Começaram do Zero,"Crie um Negócio Lucrativo na Internet Curso Grátis. https://hotm.art/RendaExtraNa_Internet ✓Triplique seu Salário, Aprenda ...",UpLUJfbtOq8,Ideias para Negócios
O Guia Definitivo para Imigrantes Empreendedores: Brasil para Irlanda,Está pensando em empreender na Irlanda vindo do Brasil? Este vídeo é o guia definitivo para imigrantes empreendedores que ...,GislWCKTrk8,Irlanda Talk Show Podcast
VISIONÁRIOS QUE FIZERAM HISTÓRIA | BARÃO DE MAUÁ - EMPRESÁRIO BRASILEIRO | LUCIANO HANG,"Visionários que fizeram história | Barão de Mauá Atendendo aos pedidos de vocês, nesta semana a série “Visionários que ...",gZkav5CTxNU,Luciano Hang Oficial
