titulo,descricao,id_video,canal
SEMPRE TIVE VERGONHA DE PAGAR UM SALÁRIO MÍNIMO!,"OLÁ, PESSOAS! Eu sempre acreditei que ninguém faz nada sozinho e o melhor caminho para um time vestir verdadeiramente a ...",qsASiu4Z-XM,Geraldo Rufino
A arte de ser gentil consigo mesmo!,A arte de ser gentil consigo mesmo! #366diasdemotivação #shorts.,rN9klQuUKyU,Geraldo Rufino
A CONTROVERSA HISTÓRIA DA AMÉRICA LATINA LOGÍSTICA - ALL,HISTÓRIA ALEXANDRE BEHRING - https://youtu.be/Lq5nFXpPa-I - 6 PILARES DE GESTÃO DE JORGE PAULO LEMANN ...,afuSnKmgor0,Passo a Passo Empreendedor
Enquanto o Marido dormia ela se divertia mas as coisas mudam😱💔,Enquanto o Marido dormia ela se divertia mas as coisas mudam.,-HBch7pcI2s,Fatos e Histórias
HOMEM M4T4 AMANTE GRÁVIDA PARA ESPOSA PASTORA NÃO DESCOBRIR - CRIME S/A,"Confira o caso de Antonieli Nunes Martins, que perdeu a vida pelas mãos de seu am4nte, Gabriel Henrique Santos, em ...",h3Y4itXGTQ8,Beto Ribeiro - CANAL OFICIAL
CASOS QUE CHOCARAM O BRASIL I 1 Hora,,BEIUho9sNeQ,Planeta Novo
ACOMPANHEI A MONTAGEM DO MAIOR MOSAICO DE TORCIDA DO BRASIL!,Você sabia que os clubes não pagam os mosaicos nos estádios? Não? Você tirará todas dúvidas sobre os mosaicos nesse vídeo ...,Vyqi-yI8HAI,Cartoloucos
Tendências da tecnologia para os próximos anos,"Alexandre Maioral, atual CEO da Oracle Brasil, é um profissional com mais de 25 anos de experiência no mercado de tecnologia ...",QwwV8mvaIH0,Sucesso à Brasileira
Inteligência artificial está em todos os lugares,,j--buhTm_es,Sucesso à Brasileira
Como me tornei uma bailarina profissional Minha experiência de audição,"Kika Lacerda, Bailarina, Advogada, Professora, Empresária, Esposa. Kika, conheceu o empreendedorismo desde os 10 anos de ...",qdeBac4LPks,PodEBEM
Assista O Vídeo Completo ☝️ Garota Não Vai À Festa De Aniversário Do Pai Pobre | Dhar Mann Studios,,Tx2clOdW1Ww,Dhar Mann Português
Garota Não Vai À Festa De Aniversário Do Pai Pobre | Dhar Mann Studios,Não se esqueça de seguir o meu canal clicando aqui ➞ https://www.youtube.com/@dharmannportuguese?sub_confirmation=1 ...,JjMb7odZzFQ,Dhar Mann Português
#EP04 - BRASIL DE MILHÕES - REINALDO RABELO ( A Revolução das Criptomoedas na Mercado Bitcoin ),"Bem-vindos ao nosso canal, onde mergulhamos no universo das mentes por trás das empresas revolucionárias. Hoje, temos o ...",Sk1A-2qcCxc,Brasil de milhões
Silvia Poppovic Fala Sobre Verdadeira Educação Financeira #ÍconesdaTV  #Empreendedorismo,Gostou e quer assistir mais episódios? Então curta esse vídeo e segue a gente nas plataformas de streamings também!,IDjF0XQg6TA,Empreendedora no Divã
O que você tem que saber antes de vir para o Japão - CastBrothers #273,"A foi abordado nesse podcast tudo que você precisa saber para vir para o Japão, não perca esse papo super descontraído e ...",J2jks_w-Q-0,CastBrothers Podcast
Oficina Estratégias de Divulgação para Empreendedores Indígenas,"Oficina Estratégias de Divulgação para Empreendedores Indígenas Facilitadora: Natalia dos Santos Moraes, da etnia Mapuá ...",AdRogw_A6E8,BDB Cultural
Podcast Fallaí ep.16 - Cauã Reymond  #podcast #entrevista #fallaipodcast,"Neste episódio tivemos uma conversa com o ator e produtor Cauã Reymond, onde ele compartilhou insights sobre a importância ...",5mRTkCLHps4,Aceleraí
"&quot;Não dá para cassar o camarada na base da busca do &#39;pelo em ovo&#39;&quot;, diz Oinegue sobre Moro #shorts","""Não dá para cassar o camarada na base da busca do 'pelo em ovo'"", diz Oinegue sobre resultado do julgamento do TRE-PR ...",C092cYc0xKQ,Band Jornalismo
Confira os destaques do Jornal da Band desta quarta-feira (10),,MPCW04iifLw,Band Jornalismo
Biden diz que Benjamin Netanyahu está cometendo ‘um erro’ em Gaza,Presidente dos Estados Unidos declarou em uma entrevista que achou “ultrajante” o ataque israelense contra o comboio ...,ZuTbh9W-ynE,Band Jornalismo
